speaker,season,episode,episode_code,episode_title,line_count,word_count
Nurse,2,5,02x05,Daddy's Boy,2,6
Paramedic,2,5,02x05,Daddy's Boy,2,16
Girl,2,5,02x05,Daddy's Boy,1,12
Kid 2,2,5,02x05,Daddy's Boy,1,5
House,2,6,02x06,Spin,139,2056
Cameron,2,6,02x06,Spin,48,492
Chase,2,6,02x06,Spin,40,359
Foreman,2,6,02x06,Spin,39,478
Wilson,2,6,02x06,Spin,38,443
Jeff,2,6,02x06,Spin,30,391
Stacy,2,6,02x06,Spin,28,391
Manager,2,6,02x06,Spin,26,307
Cuddy,2,6,02x06,Spin,21,199
Mark,2,6,02x06,Spin,15,151
Kid 1,2,6,02x06,Spin,6,25
Kid 2,2,6,02x06,Spin,6,39
Patient,2,6,02x06,Spin,6,54
Dr Harper,2,6,02x06,Spin,5,44
Mom,2,6,02x06,Spin,4,20
Mopping Guy,2,6,02x06,Spin,2,3
Announcer,2,6,02x06,Spin,1,11
Dad,2,6,02x06,Spin,1,10
House,2,7,02x07,Hunting,147,2103
Cameron,2,7,02x07,Hunting,65,615
Kalvin,2,7,02x07,Hunting,53,490
Stacy,2,7,02x07,Hunting,47,368
Wilson,2,7,02x07,Hunting,33,388
Chase,2,7,02x07,Hunting,29,283
Foreman,2,7,02x07,Hunting,21,213
Dad,2,7,02x07,Hunting,18,158
Cuddy,2,7,02x07,Hunting,8,68
Mark,2,7,02x07,Hunting,2,13
Doctor,2,7,02x07,Hunting,1,42
Chase,2,8,02x08,The Mistake,125,1389
House,2,8,02x08,The Mistake,101,1652
Stacy,2,8,02x08,The Mistake,99,1113
Foreman,2,8,02x08,The Mistake,30,258
Sam,2,8,02x08,The Mistake,30,277
Kayla,2,8,02x08,The Mistake,28,224
Cameron,2,8,02x08,The Mistake,19,166
Cuddy,2,8,02x08,The Mistake,18,241
Ayersman,2,8,02x08,The Mistake,9,109
Wilson,2,8,02x08,The Mistake,8,109
Dory,2,8,02x08,The Mistake,4,30
Chuck,2,8,02x08,The Mistake,2,7
Head Doc,2,8,02x08,The Mistake,2,178
Nicky,2,8,02x08,The Mistake,2,8
Paramedic,2,8,02x08,The Mistake,2,44
Patient,2,8,02x08,The Mistake,2,9
Doctor,2,8,02x08,The Mistake,1,2
Magician Boy On Stage,2,8,02x08,The Mistake,1,59
House,2,9,02x09,Deception,151,2303
Foreman,2,9,02x09,Deception,88,1096
Anica,2,9,02x09,Deception,60,455
Cameron,2,9,02x09,Deception,58,707
Chase,2,9,02x09,Deception,27,260
Cuddy,2,9,02x09,Deception,13,229
Wilson,2,9,02x09,Deception,13,184
Man,2,9,02x09,Deception,5,53
Lab Tech,2,9,02x09,Deception,4,31
Race Announcer,2,9,02x09,Deception,4,92
Woman,2,9,02x09,Deception,4,38
Doctor,2,9,02x09,Deception,1,18
Taxi Driver,2,9,02x09,Deception,1,1
Teller,2,9,02x09,Deception,1,4
House,2,10,02x10,Failure to Communicate,109,1547
Foreman,2,10,02x10,Failure to Communicate,78,837
Stacy,2,10,02x10,Failure to Communicate,51,642
Chase,2,10,02x10,Failure to Communicate,45,404
Cameron,2,10,02x10,Failure to Communicate,41,341
Fletcher,2,10,02x10,Failure to Communicate,29,337
Cuddy,2,10,02x10,Failure to Communicate,19,182
Elizabeth,2,10,02x10,Failure to Communicate,19,199
Greta,2,10,02x10,Failure to Communicate,13,176
Wilson,2,10,02x10,Failure to Communicate,11,104
Medicaid Guy,2,10,02x10,Failure to Communicate,10,89
Security Guy,2,10,02x10,Failure to Communicate,6,36
Announcement,2,10,02x10,Failure to Communicate,1,26
Announcer In The Airport,2,10,02x10,Failure to Communicate,1,11
Kid's Mother,2,10,02x10,Failure to Communicate,1,5
Nurse,2,10,02x10,Failure to Communicate,1,51
House,2,11,02x11,Need to Know,144,1784
Foreman,2,11,02x11,Need to Know,51,511
Cam,2,11,02x11,Need to Know,48,465
Stacy,2,11,02x11,Need to Know,38,336
Wilson,2,11,02x11,Need to Know,37,364
Margo,2,11,02x11,Need to Know,28,229
Ted,2,11,02x11,Need to Know,25,138
Chase,2,11,02x11,Need to Know,24,198
Stella,2,11,02x11,Need to Know,19,100
Cuddy,2,11,02x11,Need to Know,15,158
Mark,2,11,02x11,Need to Know,11,87
Mom,2,11,02x11,Need to Know,10,144
Cameron,2,11,02x11,Need to Know,2,14
Commentator 1,2,11,02x11,Need to Know,2,12
Daughter,2,11,02x11,Need to Know,2,9
Commentator 2,2,11,02x11,Need to Know,1,5
Friend,2,11,02x11,Need to Know,1,16
Friends,2,11,02x11,Need to Know,1,2
House,2,12,02x12,Distractions,168,1885
Foreman,2,12,02x12,Distractions,74,646
Cameron,2,12,02x12,Distractions,48,484
Weber,2,12,02x12,Distractions,34,368
Doug,2,12,02x12,Distractions,30,250
Chase,2,12,02x12,Distractions,26,180
Wilson,2,12,02x12,Distractions,26,357
Emily,2,12,02x12,Distractions,24,216
Cuddy,2,12,02x12,Distractions,18,189
Adam,2,12,02x12,Distractions,11,53
Brenda,2,12,02x12,Distractions,7,38
Doctor,2,12,02x12,Distractions,4,27
Anesthesiologist,2,12,02x12,Distractions,3,31
Nurse,2,12,02x12,Distractions,1,9
Paramedic,2,12,02x12,Distractions,1,11
Paula,2,12,02x12,Distractions,1,17
Stranger At The Door,2,12,02x12,Distractions,1,2
House,2,13,02x13,Skin Deep,133,1963
Cameron,2,13,02x13,Skin Deep,47,384
Dad,2,13,02x13,Skin Deep,46,359
Alex,2,13,02x13,Skin Deep,38,352
Foreman,2,13,02x13,Skin Deep,37,528
Chase,2,13,02x13,Skin Deep,33,344
Cuddy,2,13,02x13,Skin Deep,29,209
Wilson,2,13,02x13,Skin Deep,22,276
George,2,13,02x13,Skin Deep,12,67
Social Worker,2,13,02x13,Skin Deep,4,31
Austin,2,13,02x13,Skin Deep,3,34
Woman,2,13,02x13,Skin Deep,3,19
Nurse,2,13,02x13,Skin Deep,2,23
Forman,2,13,02x13,Skin Deep,1,9
Model,2,13,02x13,Skin Deep,1,3
House,2,14,02x14,Sex Kills,173,2388
Cameron,2,14,02x14,Sex Kills,39,357
Foreman,2,14,02x14,Sex Kills,37,351
Henry,2,14,02x14,Sex Kills,36,334
Donald,2,14,02x14,Sex Kills,35,347
Chase,2,14,02x14,Sex Kills,23,231
Amy,2,14,02x14,Sex Kills,22,128
Patient,2,14,02x14,Sex Kills,20,202
Wilson,2,14,02x14,Sex Kills,16,195
Woman,2,14,02x14,Sex Kills,9,65
Cuddy,2,14,02x14,Sex Kills,7,67
Man,2,14,02x14,Sex Kills,6,47
Simpson,2,14,02x14,Sex Kills,4,58
Cecile,2,14,02x14,Sex Kills,1,3
Doctor,2,14,02x14,Sex Kills,1,9
Ellen,2,14,02x14,Sex Kills,1,17
Nurse,2,14,02x14,Sex Kills,1,3
Nurses,2,14,02x14,Sex Kills,1,2
House,2,15,02x15,Clueless,159,2143
Cameron,2,15,02x15,Clueless,64,596
Foreman,2,15,02x15,Clueless,58,623
Maria,2,15,02x15,Clueless,49,367
Chase,2,15,02x15,Clueless,33,312
Wilson,2,15,02x15,Clueless,28,300
Bob,2,15,02x15,Clueless,22,169
Mr Lambert,2,15,02x15,Clueless,18,99
Cuddy,2,15,02x15,Clueless,14,159
Mrs Lambert,2,15,02x15,Clueless,11,79
Lady,2,15,02x15,Clueless,8,57
Woman,2,15,02x15,Clueless,3,54
Man,2,15,02x15,Clueless,2,10
Answering Machine,2,15,02x15,Clueless,1,5
Message,2,15,02x15,Clueless,1,59
Phone,2,15,02x15,Clueless,1,4
Scale,2,15,02x15,Clueless,1,4
House,2,16,02x16,Safe,111,1536
Foreman,2,16,02x16,Safe,95,1042
Barbara,2,16,02x16,Safe,49,472
Wilson,2,16,02x16,Safe,43,403
Cameron,2,16,02x16,Safe,40,388
Melinda,2,16,02x16,Safe,33,278
Chase,2,16,02x16,Safe,28,225
Dan,2,16,02x16,Safe,25,286
Cuddy,2,16,02x16,Safe,24,275
Lewis,2,16,02x16,Safe,17,87
Voice Replies,2,16,02x16,Safe,1,3
House,2,17,02x17,All in,159,1803
Chase,2,17,02x17,All in,60,626
Cameron,2,17,02x17,All in,56,442
Foreman,2,17,02x17,All in,52,448
Wilson,2,17,02x17,All in,52,496
Cuddy,2,17,02x17,All in,24,360
Sarah,2,17,02x17,All in,20,203
Ian,2,17,02x17,All in,15,72
Teacher,2,17,02x17,All in,14,98
Alan,2,17,02x17,All in,10,81
Dr Wells,2,17,02x17,All in,4,32
Mike,2,17,02x17,All in,4,23
Woman,2,17,02x17,All in,4,25
Nurse,2,17,02x17,All in,1,1
Over The Announcement System,2,17,02x17,All in,1,8
Voice,2,17,02x17,All in,1,15
House,2,18,02x18,Sleeping Dogs Lie,151,2236
Cameron,2,18,02x18,Sleeping Dogs Lie,108,1237
Foreman,2,18,02x18,Sleeping Dogs Lie,61,682
Chase,2,18,02x18,Sleeping Dogs Lie,43,375
Max,2,18,02x18,Sleeping Dogs Lie,40,289
Hannah,2,18,02x18,Sleeping Dogs Lie,37,209
Cuddy,2,18,02x18,Sleeping Dogs Lie,29,359
Daughter,2,18,02x18,Sleeping Dogs Lie,16,105
Wilson,2,18,02x18,Sleeping Dogs Lie,12,141
Mandarin Woman,2,18,02x18,Sleeping Dogs Lie,5,35
Forman,2,18,02x18,Sleeping Dogs Lie,1,9
Surgeon,2,18,02x18,Sleeping Dogs Lie,1,4
House,2,19,02x19,House vs God,142,2088
Wilson,2,19,02x19,House vs God,86,1090
Boyd,2,19,02x19,House vs God,56,673
Chase,2,19,02x19,House vs God,39,336
Foreman,2,19,02x19,House vs God,25,290
Walter,2,19,02x19,House vs God,19,173
Cameron,2,19,02x19,House vs God,17,225
Grace,2,19,02x19,House vs God,7,135
Bus Stop Guy,2,19,02x19,House vs God,3,19
Dry Cleaner,2,19,02x19,House vs God,2,18
Cuddy,2,19,02x19,House vs God,1,15
Drycleaner,2,19,02x19,House vs God,1,1
Person,2,19,02x19,House vs God,1,4
Tax Accountant,2,19,02x19,House vs God,1,1
House,2,20,02x20,Euhoria Part 1,130,1985
Foreman,2,20,02x20,Euhoria Part 1,115,1136
Cameron,2,20,02x20,Euhoria Part 1,78,542
Chase,2,20,02x20,Euhoria Part 1,71,613
Joe,2,20,02x20,Euhoria Part 1,25,178
