speaker,season,line_count,word_count,episode_count
Tyson Ritter,3,1,23,1
Vagrant,3,1,14,1
Voice,3,1,6,1
Waitress,3,1,3,1
Young Man,3,1,4,1
House,4,2663,32939,16
Wilson,4,534,5504,16
Foreman,4,495,4968,14
Taub,4,480,4721,14
Kutner,4,466,4369,14
Cuddy,4,394,4119,16
Amber,4,353,3137,12
Thirteen,4,196,1951,6
Cameron,4,141,1469,11
Chase,4,126,1214,13
Cate,4,94,937,1
Cole,4,89,677,4
Patient,4,57,366,1
Travis Brennan,4,57,520,2
Irene Walesa,4,55,410,1
Ben Prosner,4,54,453,1
Jane,4,54,367,1
Evan,4,52,546,1
Brennan,4,50,494,2
Finn,4,49,583,1
Jeffrey Cole,4,46,287,2
Maggie,4,46,425,1
Samira Terzi,4,43,392,1
Yonatan Arnoff,4,40,316,1
Jimmy Quidd,4,37,303,1
Greta,4,36,354,1
Darnell,4,34,290,1
Roz Viner,4,34,280,1
Jeff,4,31,233,1
Stark,4,31,352,1
Deb,4,30,260,1
Sidney Curtis,4,29,262,1
Kenny,4,28,322,1
Mrs Bradberry,4,26,173,1
Henry Dobson,4,25,277,1
Sean,4,24,175,1
Joe,4,23,144,1
Bus Driver,4,20,188,1
Casey Alfonso,4,20,196,1
Mystery Woman,4,20,131,1
Lou Alfonso,4,19,116,1
Jody,4,16,150,1
Marie,4,16,195,1
Megan Bradberry,4,16,88,1
Melanie,4,16,136,1
John,4,15,116,1
Agent Smith,4,14,107,1
Connie Walesa,4,14,119,1
Nurse,4,13,88,2
Dancer,4,12,55,1
Young Doctor,4,12,69,1
Bartender,4,11,85,2
Rex,4,11,70,1
Roger,4,11,95,1
Schaffer,4,10,164,1
Attending Doctor,4,9,102,1
Conway,4,9,127,1
Dr Pilcher,4,9,74,1
Mr Mckenna,4,9,103,1
Terzi,4,9,113,1
Volakis,4,9,85,1
Brock,4,8,83,1
Dr Brady,4,8,116,1
Dobson,4,7,59,1
Ex-partner,4,7,76,1
Guy 1,4,7,53,1
Leon The Janitor,4,7,46,1
Salesman,4,7,48,1
Surgeon,4,7,79,3
Announcer's Voice,4,6,69,1
Trevor Kaufman,4,6,38,1
Almore,4,5,88,1
Delivery Man,4,5,23,1
Handsome Fellow,4,5,35,1
Imelda,4,5,24,1
Latino Fellow,4,5,32,1
Male Patient,4,5,40,1
Man,4,5,56,2
Twin 15b,4,5,56,1
Cue Music,4,4,19,1
Female Fellow,4,4,22,1
Male Nurse,4,4,19,1
Pharmacist,4,4,42,1
Reporter,4,4,40,1
Sam Lee,4,4,14,1
Twin 15a,4,4,45,1
Anesthesiologist,4,3,13,1
Anna,4,3,51,1
Director,4,3,11,1
Female Soap Character,4,3,12,1
Guy,4,3,32,1
Guy 2,4,3,42,1
Luisa Maria,4,3,33,1
Male Soap Character,4,3,27,1
Martin,4,3,6,1
Tony,4,3,22,1
Trevor's Roommate,4,3,13,1
Wheelchair Guy,4,3,17,1
Big Eye,4,2,17,1
Chris,4,2,14,1
Doctor,4,2,15,2
Emo Guy,4,2,9,1
Fred,4,2,15,1
Ian,4,2,8,1
Mrs Silver,4,2,22,1
The Guitarnapper,4,2,13,1
Woman,4,2,3,1
Ann,4,1,12,1
Club Owner,4,1,8,1
Coach,4,1,3,1
Cranio Surgeon,4,1,2,1
Doub Mcmurtry,4,1,4,1
Father,4,1,4,1
Female Patient,4,1,6,1
Guy 2 Tony,4,1,10,1
House & Evan,4,1,5,1
Ilana,4,1,7,1
Jenny,4,1,4,1
Jewish Guest,4,1,2,1
Jewish Lady,4,1,4,1
Liz Masters,4,1,1,1
Old Gentleman,4,1,2,1
Paramedic,4,1,21,1
Taub Gets Up Obediently,4,1,3,1
Technician,4,1,7,1
Thirteenforeman,4,1,1,1
House,5,2747,39225,23
Taub,5,959,10590,23
Thirteen,5,952,9725,23
Foreman,5,827,8834,23
Kutner,5,644,6992,19
Cuddy,5,604,7050,23
Wilson,5,604,7800,22
Cameron,5,275,3206,17
Chase,5,224,2395,21
Lee,5,139,1061,1
Lucas,5,134,1896,3
Amber,5,115,1200,4
Jason,5,95,825,1
Nick,5,68,1135,1
Daniel,5,67,720,1
Sophia,5,53,551,1
Lou,5,48,531,1
Emmy,5,46,568,1
Sarah,5,43,509,2
Becca,5,40,401,1
Brandon,5,37,357,1
Morgan,5,37,466,1
Spencer,5,37,333,1
Dana,5,36,460,1
Scott,5,36,501,1
Doug,5,35,398,2
Audrey,5,33,286,1
Melanie,5,33,361,1
Apple,5,31,278,1
Eddie,5,30,294,1
Jackson,5,29,286,1
Jeff,5,29,260,1
Jerry,5,28,166,1
Natalie,5,28,321,1
Molly,5,27,178,2
Lynne,5,26,333,1
Kurtz,5,25,249,1
Charlotte,5,23,217,1
Franni,5,23,187,1
Ellie,5,22,200,1
Neil,5,21,280,1
Nicole,5,20,252,1
Bowman,5,19,169,1
Joseph,5,19,139,1
Samantha,5,19,104,1
Eugene,5,18,299,1
Seth,5,18,90,1
Costello,5,17,154,1
Whitney,5,16,123,1
Zach,5,16,126,1
Janice,5,15,197,3
Rachel,5,15,196,2
Deedee,5,14,134,1
Penelope,5,13,51,1
Evan,5,12,90,1
Irv,5,12,79,1
Melinda,5,12,78,1
Regina,5,12,85,1
Ryan,5,12,47,1
Frank's Wife,5,11,70,1
Jeremy,5,11,58,1
Annie,5,10,175,1
Fang Dong Wen,5,10,107,1
Nurse,5,10,92,7
Patty,5,10,179,1
Heather,5,9,64,1
O'shea,5,9,54,1
Susan,5,9,67,2
Anthony,5,8,57,1
Chef Anthony,5,8,116,1
Laura,5,8,71,1
Mrs Soellner,5,8,80,1
Simon,5,8,102,1
Husband,5,7,48,1
Anna,5,6,40,1
Bob,5,6,79,1
Carlton,5,6,89,1
Fernando,5,6,73,1
Geoff,5,6,46,1
Johnny,5,6,26,1
Karamel,5,6,17,1
Mr Soellner,5,6,44,1
Oliver,5,6,34,1
Plumber,5,6,78,1
Schmidt,5,6,89,1
Secretary,5,6,64,1
