speaker,line_count,word_count,episode_count,season_count
Policeman,8,80,3,3
Joel,8,78,1,1
Norris,8,75,1,1
Ralphie,8,73,1,1
Maurice,8,72,1,1
Laura,8,71,1,1
Mr Foreman,8,70,1,1
Wells,8,67,2,1
Marco,8,60,1,1
Anthony,8,57,1,1
Student 2,8,52,1,1
Safer,8,42,2,1
Bryan,8,40,1,1
Paige,8,40,1,1
Chris,8,35,2,2
Dave,8,32,1,1
Lim,8,30,1,1
Air Chase,8,21,1,1
Fireman1,7,123,1,1
Dr Kondo,7,118,1,1
Ms Fields,7,110,1,1
Sharon,7,103,1,1
Marisa,7,100,1,1
Dr Gilmar,7,96,1,1
Tannenbaum,7,91,1,1
Keener,7,90,1,1
Monroe's Wife,7,80,1,1
Riggin,7,79,1,1
Lexa,7,78,1,1
Timmy,7,77,1,1
Ex-partner,7,76,1,1
Orange Guy,7,75,1,1
Defence Lawyer,7,73,1,1
Male Patient,7,71,2,2
Hal,7,65,1,1
Mr Weathers,7,63,1,1
Ayres,7,61,1,1
Cruz,7,61,1,1
Ron,7,61,1,1
Dobson,7,59,1,1
Richard,7,58,1,1
Dr Spain,7,57,1,1
Alvarez,7,53,1,1
Guy 1,7,53,1,1
Judge Foley,7,51,1,1
Mitchell,7,51,1,1
Soltes,7,51,1,1
Tony,7,49,2,2
Husband,7,48,1,1
Claire,7,46,1,1
Leon The Janitor,7,46,1,1
Dryden,7,45,1,1
Fireman4,7,45,1,1
Kid 2,7,44,2,1
Late 30s Man,7,42,1,1
Some Guy,7,40,1,1
Little Girl,7,39,2,1
Ronnie,7,38,1,1
Other Kid,7,34,1,1
Air Cameron,7,30,1,1
Director,7,30,2,2
Jen,7,23,1,1
Ruwe,6,159,1,1
Loud Speaker,6,145,1,1
Jacques,6,99,1,1
Tim,6,98,1,1
Carlton,6,89,1,1
Sanford,6,89,1,1
Schmidt,6,89,1,1
Union Guy,6,89,1,1
Rollo,6,83,1,1
Plumber,6,78,1,1
Fernando,6,73,1,1
Chloe,6,72,2,2
Sherlock Nose,6,70,1,1
Announcer's Voice,6,69,1,1
Secretary,6,64,1,1
Cab Driver,6,63,1,1
Milton,6,61,1,1
Ms Washburn,6,50,1,1
Courtney,6,49,1,1
Policeman 2,6,49,2,2
Geoff,6,46,1,1
Mr Soellner,6,44,1,1
Forman,6,43,6,4
Dr Banerjee,6,42,1,1
Jenny,6,40,2,2
Dr Taylor,6,39,1,1
Trevor Kaufman,6,38,1,1
Doctor 1,6,36,1,1
Mandy,6,36,1,1
Security Guy,6,36,1,1
Cue Music,6,33,3,2
Mr Carroll,6,29,1,1
Father,6,27,4,3
Johnny,6,26,1,1
Boy 1,6,25,1,1
Kid 1,6,25,1,1
Wife,6,25,2,2
Maya,6,24,1,1
Karamel,6,17,1,1
Jay-bird,6,12,1,1
Kids,6,11,1,1
Porter,5,122,1,1
Dr Thomas,5,114,1,1
Julia Kutner,5,103,1,1
Winn,5,97,1,1
Elaine,5,91,1,1
Almore,5,88,1,1
Hr Guy,5,75,1,1
Dr Cheng,5,70,1,1
Wyeth,5,70,1,1
Dr Riggin,5,69,1,1
Glenn,5,66,1,1
Chang,5,63,1,1
Dutch,5,63,1,1
Mr Conroy,5,61,1,1
Therapist,5,58,3,3
Beth,5,56,1,1
Twin 15b,5,56,1,1
Dr Stone,5,55,1,1
Dr Harper,5,44,1,1
Jodi,5,43,1,1
Ms Ayers,5,43,1,1
Sister Joan,5,43,1,1
Mr Jennings,5,42,1,1
Ina,5,40,1,1
Sadie,5,39,1,1
Announcer,5,37,5,5
Sheldon,5,36,1,1
Handsome Fellow,5,35,1,1
Mandarin Woman,5,35,1,1
Dr Medick,5,34,1,1
Cecile,5,32,2,2
Latino Fellow,5,32,1,1
Macdonald,5,31,1,1
Marshall,5,31,1,1
Tough Guy1,5,30,1,1
Hiccup Guy,5,29,1,1
Tough Guy2,5,29,1,1
Female Cop,5,27,1,1
Choreographer,5,26,1,1
Daria,5,25,1,1
Grandpa,5,25,1,1
Cashier,5,24,3,2
Imelda,5,24,1,1
Delivery Man,5,23,1,1
Male Nurse,5,22,2,2
Jose,5,21,2,2
Ricky,5,20,1,1
Drake,5,19,1,1
Gene,5,17,1,1
Mrs Schaeffer,5,17,1,1
Security Guard,5,17,2,2
Orderly,5,15,3,2
Class,5,13,1,1
Television Announcer,4,114,1,1
Race Announcer,4,92,1,1
Aikoa Tanaka,4,70,1,1
Inmate,4,70,1,1
Ayala,4,68,1,1
Larry,4,63,1,1
Madison,4,57,2,2
Dr Paulson,4,52,1,1
Mr Park,4,51,2,2
Voice,4,51,3,3
Ortho Doctor,4,49,1,1
Boardmember,4,46,1,1
Officer Smith,4,45,1,1
Rescuer3,4,45,1,1
Twin 15a,4,45,1,1
Kay,4,42,1,1
Reporter,4,40,1,1
Mrs Carroll,4,37,1,1
Micah,4,35,1,1
Nona,4,35,1,1
Tv,4,35,2,2
Female Case Worker,4,34,1,1
Saleswoman,4,34,2,2
Cora,4,33,1,1
Dr Wells,4,32,1,1
Lab Tech,4,31,1,1
Singh,4,31,1,1
Clementine,4,30,1,1
Dina,4,30,2,1
Dory,4,30,1,1
Fellow Patron,4,29,1,1
Chi's Dad,4,26,1,1
Gibbs,4,25,1,1
Prather,4,24,1,1
Bouncer,4,23,1,1
Mitch,4,23,1,1
Ms X,4,23,1,1
Babyshoes,4,22,1,1
Female Fellow,4,22,1,1
Garney,4,21,1,1
Everyone,4,20,3,2
Hallucination Of Young Abby,4,20,1,1
Nicole's Father,4,20,1,1
Resident,4,18,1,1
Ama,4,17,1,1
Proctor,4,17,1,1
Scout,4,17,1,1
Sam Lee,4,14,1,1
Walker,4,14,1,1
Target,4,13,1,1
Waiter,4,11,2,2
Chase's Sister,4,9,1,1
Son,4,8,1,1
All,4,6,4,2
Students,4,5,2,2
Reverend Bowden,3,97,1,1
Delaire,3,93,1,1
Cuddy's Voice,3,62,2,2
Warren,3,59,1,1
Homeless Man,3,51,1,1
Dr Marks,3,46,1,1
Durdanna,3,45,1,1
Andrews,3,44,1,1
Todd,3,43,1,1
Guy 2,3,42,1,1
Marika,3,40,1,1
Older Guy,3,40,1,1
Mr Laffont,3,39,1,1
Marine 1,3,38,1,1
Austin,3,34,1,1
Luisa Maria,3,33,1,1
James,3,32,1,1
Pilot,3,32,1,1
Rita,3,32,1,1
Runny-nose Guy,3,30,1,1
Arlene's Voice,3,28,1,1
Juan,3,28,1,1
Male Soap Character,3,27,1,1
Timothy's Mom,3,27,1,1
Fisher,3,26,1,1
Ms Friedman,3,26,1,1
Marko,3,25,2,1
Paula,3,25,3,3
Gloria,3,24,1,1
Roommate,3,23,1,1
June,3,22,1,1
Female Lawyer,3,21,1,1
Mrs Park,3,21,1,1
Paramedic 1,3,21,1,1
Brother,3,20,1,1
Bus Stop Guy,3,19,1,1
Court Officer,3,19,1,1
Durkee,3,18,1,1
Joan,3,18,1,1
Wheelchair Guy,3,17,1,1
Valez,3,16,1,1
Kid,3,15,2,2
Tall Girl,3,15,1,1
Volleyball Player,3,15,1,1
